[2026-07-13T14:25:31+05:30] Checkout finalized for Shop S1; invoice #13 (id 13) by Cashier Das (user #3); total Rs. 998.00; payment mode upi + cash split; payments: upi Rs. 98.00, cash Rs. 900.00; lines: Paper Boat - Coconut 270ml x 10 at Rs. 20.00, Magnesium Glycinate - Tata 1mg 60tabs x 2 at Rs. 399.00.
[2026-07-13T22:02:12+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:02:34+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:02:50+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Owner One (user #1); total Rs. 50.00; payment mode cash; payments: cash Rs. 50.00; lines: Test 750ml x 1 at Rs. 50.00.
[2026-07-13T22:03:01+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:03:12+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:03:23+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:03:34+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:04:25+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 200.00; payment mode cash; payments: cash Rs. 200.00; lines: Test 750ml x 2 at Rs. 100.00.
[2026-07-13T22:04:36+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 600.00; payment mode upi; payments: upi Rs. 600.00; lines: Test 750ml x 1 at Rs. 100.00, Test 750ml x 2 at Rs. 250.00.
[2026-07-13T22:04:46+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 500.00; payment mode cash + upi split; payments: cash Rs. 200.00, upi Rs. 300.00; lines: Test 750ml x 1 at Rs. 500.00.
[2026-07-13T22:05:26+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:05:27+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:05:49+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:06:05+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Owner One (user #1); total Rs. 50.00; payment mode cash; payments: cash Rs. 50.00; lines: Test 750ml x 1 at Rs. 50.00.
[2026-07-13T22:06:16+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:06:27+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:06:37+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:06:48+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:09:34+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 200.00; payment mode cash; payments: cash Rs. 200.00; lines: Test 750ml x 2 at Rs. 100.00.
[2026-07-13T22:09:44+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 600.00; payment mode upi; payments: upi Rs. 600.00; lines: Test 750ml x 1 at Rs. 100.00, Test 750ml x 2 at Rs. 250.00.
[2026-07-13T22:09:54+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 500.00; payment mode cash + upi split; payments: cash Rs. 200.00, upi Rs. 300.00; lines: Test 750ml x 1 at Rs. 500.00.
[2026-07-13T22:10:33+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:10:34+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:10:53+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:11:09+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Owner One (user #1); total Rs. 50.00; payment mode cash; payments: cash Rs. 50.00; lines: Test 750ml x 1 at Rs. 50.00.
[2026-07-13T22:11:19+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:11:30+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:11:40+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
[2026-07-13T22:11:49+05:30] Checkout finalized for Shop One; invoice #1 (id 1) by Cashier One (user #3); total Rs. 100.00; payment mode cash; payments: cash Rs. 100.00; lines: Test 750ml x 1 at Rs. 100.00.
