[2026-07-15T20:02:19+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:04:06+05:30] EOD sign-off completed for 2026-07-10 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:04:06+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:04:08+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:04:32+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:04:39+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:04:52+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:05:00+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:05:14+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:05:34+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:05:48+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:05:55+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:05:57+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:06:03+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:06:13+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:06:15+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:06:21+05:30] EOD sign-off completed for 2026-07-10 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:06:21+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:06:23+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:06:44+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:06:52+05:30] EOD sign-off completed for 2026-07-15 by Root (user #4); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:07:55+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:08:02+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:08:15+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:08:23+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:08:37+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:08:57+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:11+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:12+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:09:18+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:20+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-15T20:09:26+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:37+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:39+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:09:44+05:30] EOD sign-off completed for 2026-07-10 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:44+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-15T20:09:46+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:10:07+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-15T20:10:15+05:30] EOD sign-off completed for 2026-07-15 by Root (user #4); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
