[2026-07-16T12:54:27+05:30] EOD sign-off completed for 2026-07-14 by owner test (user #6); invoice count 1; revenue Rs. 20.00; payment split: cash Rs. 20.00; voided invoices 0; reversal invoices 0; archived/signed off 14 invoices.
[2026-07-16T17:22:29+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:22:41+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:22:42+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:22:47+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:22:48+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 200.00; payment split: upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:22:54+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:03+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:04+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:08+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:09+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:10+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:16+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:23+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:43+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:45+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:45+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:50+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:50+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:23:52+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:23:53+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:23:58+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:24:00+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: upi Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:24:03+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:24:10+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:24:17+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: upi Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:35:50+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:35:53+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:35:58+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:35:58+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:36:00+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:36:06+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:36:10+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:36:16+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:36:22+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:36:28+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: upi Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:37:26+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:37:28+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:37:33+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:37:33+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:37:35+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:37:41+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:37:46+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:37:53+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:38:00+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:38:08+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: upi Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:38:42+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:38:44+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:38:49+05:30] EOD sign-off completed for 2026-07-11 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:38:49+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:38:51+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:38:57+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-16T17:39:01+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:39:08+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:39:15+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-16T17:39:16+05:30] EOD sign-off completed for 2026-07-15 by Owner One (user #1); invoice count 1; revenue Rs. 20.00; payment split: cash Rs. 20.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-16T17:39:23+05:30] EOD sign-off completed for 2026-07-16 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: upi Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
