[2026-07-14T20:38:17+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T20:40:22+05:30] EOD sign-off completed for 2026-07-09 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T20:40:23+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T20:40:23+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T20:40:50+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T20:40:59+05:30] EOD sign-off completed for 2026-07-14 by Root (user #4); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T22:20:18+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T22:20:24+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T22:20:37+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T22:20:45+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T22:20:58+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T22:21:16+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T22:21:17+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T22:21:24+05:30] EOD sign-off completed for 2026-07-09 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T22:21:24+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T22:21:25+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:06:50+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T23:06:54+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:07:03+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:07:08+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T23:07:17+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T23:07:31+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:07:31+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:07:36+05:30] EOD sign-off completed for 2026-07-09 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:07:36+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:07:36+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:07:50+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:07:55+05:30] EOD sign-off completed for 2026-07-14 by Root (user #4); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:09:02+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 300.00; payment split: cash Rs. 100.00, upi Rs. 200.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T23:09:06+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:09:15+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:09:20+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 2; revenue Rs. 200.00; payment split: cash Rs. 100.00, upi Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T23:09:29+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 1; reversal invoices 0; archived/signed off 2 invoices.
[2026-07-14T23:09:43+05:30] EOD sign-off completed for 2026-07-13 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:09:43+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:09:48+05:30] EOD sign-off completed for 2026-07-09 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:09:48+05:30] EOD sign-off completed for 2026-07-12 by Owner One (user #1); invoice count 0; revenue Rs. 0; payment split: no payments; voided invoices 0; reversal invoices 0; archived/signed off 0 invoices.
[2026-07-14T23:09:48+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:10:02+05:30] EOD sign-off completed for 2026-07-14 by Owner One (user #1); invoice count 1; revenue Rs. 100.00; payment split: cash Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
[2026-07-14T23:10:07+05:30] EOD sign-off completed for 2026-07-14 by Root (user #4); invoice count 1; revenue Rs. 100.00; payment split: card Rs. 100.00; voided invoices 0; reversal invoices 0; archived/signed off 1 invoices.
