[2026-07-13T14:04:00+05:30] Receiving lot #11 for Shop S1 by receiver swain (user #4); reference no reference; notes no notes; products received: Ambipur Lavendar 275ml x 10 at Rs. 270.00, row total Rs. 2700.00, Paper Boat - Pomogranate 270ml x 25 at Rs. 20.00, row total Rs. 500.00, Paper Boat - Coconut 270ml x 30 at Rs. 20.00, row total Rs. 600.00.
[2026-07-13T14:10:33+05:30] Receiving lot #12 for Shop S1 by receiver swain (user #4); reference no reference; notes no notes; products received: Fevicol MR Tube 105 x 100 at Rs. unavailable, row total Rs. unavailable.
[2026-07-13T21:48:24+05:30] Receiving lot #1 for Shop One from Heritage Supply by Receiver One (user #2); purchase date 2026-07-13; vendor invoice A-1; invoice value Rs. 100.00; reference no reference; notes no notes; products received: Retail 750ml x 2 (good 2, breakage 0) at Rs. 100.00, row total Rs. 200.00.
[2026-07-13T22:04:56+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:05:06+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 3 (good 3, breakage 0) at Rs. 100.00, row total Rs. 300.00.
[2026-07-13T22:05:16+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:05:25+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:05:36+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:05:45+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 1 (good 1, breakage 0) at Rs. 100.00, row total Rs. 100.00.
[2026-07-13T22:06:04+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 50.00, row total Rs. 250.00.
[2026-07-13T22:06:15+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:06:25+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:06:36+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:06:47+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:09:33+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:09:43+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00, Test 750ml x 5 (good 5, breakage 0) at Rs. 250.00, row total Rs. 1250.00.
[2026-07-13T22:09:53+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 500.00, row total Rs. 2500.00.
[2026-07-13T22:10:03+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:10:14+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 3 (good 3, breakage 0) at Rs. 100.00, row total Rs. 300.00.
[2026-07-13T22:10:22+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:10:32+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:10:42+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:10:51+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 1 (good 1, breakage 0) at Rs. 100.00, row total Rs. 100.00.
[2026-07-13T22:11:08+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 50.00, row total Rs. 250.00.
[2026-07-13T22:11:18+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:11:29+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:11:39+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-13T22:11:48+05:30] Receiving lot #1 for Shop One from Vendor One by Receiver One (user #2); purchase date 2026-07-13; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Test 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
