[2026-07-15T16:57:41+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: Copy Brand 750ml x 5 (good 5, breakage 0) at Rs. 123.45, row total Rs. 617.25.
[2026-07-15T20:03:33+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:03:40+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:03:48+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:03:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:04:07+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:04:30+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:04:38+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:04:52+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:04:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:05:06+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:05:12+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:05:20+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:05:26+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:05:33+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:05:41+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:05:47+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:05:55+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:06:03+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:06:14+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:06:22+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:06:29+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:06:36+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:06:43+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:06:51+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:06:58+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:07:54+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:01+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:15+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:22+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:29+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:35+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:43+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:49+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:08:56+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:09:04+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:09:10+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:09:18+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:09:25+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-15T20:09:38+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:09:45+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:09:52+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:09:59+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:10:06+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:10:14+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-15T20:10:20+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-15; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
