[2026-07-17T14:55:37+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T14:56:51+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-17T14:56:57+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-17T14:57:07+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T14:57:12+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T14:57:19+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T14:57:26+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T14:57:50+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T14:57:58+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-17T14:58:07+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T15:01:47+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
[2026-07-17T15:01:53+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 10 (good 10, breakage 0) at Rs. 100.00, row total Rs. 1000.00.
[2026-07-17T15:02:00+05:30] Receiving lot #1 for Shop One from Vendor One by Owner One (user #1); purchase date 2026-07-17; vendor invoice TEST-INVOICE; invoice value Rs. 0.00; reference no reference; notes no notes; products received: X 750ml x 5 (good 5, breakage 0) at Rs. 100.00, row total Rs. 500.00.
